"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1830,"ALABAMA",309527,"State",NA,NA,1572,728,844,NA,NA,NA,NA,NA,NA,NA,NA
1830,"ARKANSAS",30388,"Territory",NA,NA,141,53,88,NA,NA,NA,NA,NA,NA,NA,NA
1830,"CONNECTICUT",297675,"State",NA,NA,8047,4197,3850,NA,NA,NA,NA,NA,NA,NA,NA
1830,"DELAWARE",76748,"State",NA,NA,15855,7973,7882,NA,NA,NA,NA,NA,NA,NA,NA
1830,"GEORGIA",516823,"State",NA,NA,2486,1225,1261,NA,NA,NA,NA,NA,NA,NA,NA
1830,"ILLINOIS",157445,"State",NA,NA,1637,813,824,NA,NA,NA,NA,NA,NA,NA,NA
1830,"INDIANA",343031,"State",NA,NA,3629,1772,1857,NA,NA,NA,NA,NA,NA,NA,NA
1830,"KENTUCKY",687917,"State",NA,NA,4917,2265,2652,NA,NA,NA,NA,NA,NA,NA,NA
1830,"LOUISIANA",215529,"State",NA,NA,16710,9480,7230,NA,NA,NA,NA,NA,NA,NA,NA
1830,"MAINE",399455,"State",NA,NA,1190,580,610,NA,NA,NA,NA,NA,NA,NA,NA
1830,"MARYLAND",447040,"State",NA,NA,52938,28032,24906,NA,NA,NA,NA,NA,NA,NA,NA
1830,"MASSACHUSETTS",610408,"State",NA,NA,7048,3690,3358,NA,NA,NA,NA,NA,NA,NA,NA
1830,"MICHIGAN",31639,"Territory",NA,NA,261,102,159,NA,NA,NA,NA,NA,NA,NA,NA
1830,"MISSISSIPPI",136621,"State",NA,NA,519,231,288,NA,NA,NA,NA,NA,NA,NA,NA
